City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
59,Baykit,RU,61.67,96.37,64.04,83,86,2.93,overcast clouds,2021-08-03 23:04:12
60,Hermanus,ZA,-34.4187,19.2345,52.9,91,59,3.56,broken clouds,2021-08-03 23:04:13
61,Cape Town,ZA,-33.9258,18.4232,57.88,82,20,3.0,few clouds,2021-08-03 23:04:13
62,Cidreira,BR,-30.1811,-50.2056,55.4,93,12,6.58,few clouds,2021-08-03 23:04:13
63,Iskateley,RU,67.6803,53.1512,63.64,74,99,14.97,overcast clouds,2021-08-03 23:04:14
64,Hithadhoo,MV,-0.6,73.0833,81.57,75,100,10.58,overcast clouds,2021-08-03 22:59:33
65,Fortaleza,BR,-3.7227,-38.5247,83.25,83,20,11.5,few clouds,2021-08-03 23:02:42
66,Saskylakh,RU,71.9167,114.0833,58.37,45,43,8.14,scattered clouds,2021-08-03 23:04:14
67,Geraldton,AU,-28.7667,114.6,41.41,87,0,2.3,clear sky,2021-08-03 23:04:14
68,Murom,RU,55.5656,42.0417,60.64,78,77,6.38,broken clouds,2021-08-03 23:04:15
69,Yamada,JP,39.4667,141.95,83.77,74,99,1.3,overcast clouds,2021-08-03 23:04:15
70,Todos Santos,MX,23.45,-110.2167,93.0,83,97,9.15,overcast clouds,2021-08-03 23:04:15
71,Kaitangata,NZ,-46.2817,169.8464,48.92,69,52,3.53,broken clouds,2021-08-03 23:00:09
72,Baghmara,IN,23.795,86.2085,79.57,85,100,6.38,overcast clouds,2021-08-03 23:04:16
73,Airai,TL,-8.9266,125.4092,61.43,60,84,2.98,broken clouds,2021-08-03 23:04:16
74,Talnakh,RU,69.4865,88.3972,68.18,57,29,4.92,scattered clouds,2021-08-03 23:04:16
75,Hofn,IS,64.2539,-15.2082,53.67,91,93,3.0,overcast clouds,2021-08-03 23:04:16
76,San Patricio,US,28.017,-97.5169,92.12,49,100,4.05,overcast clouds,2021-08-03 23:04:17
77,Hami,CN,42.8,93.45,79.3,18,51,5.17,broken clouds,2021-08-03 23:04:17
78,Anamur,TR,36.0751,32.8369,80.62,35,0,7.58,clear sky,2021-08-03 23:04:17
79,Puerto Ayora,EC,-0.7393,-90.3518,71.08,79,81,8.37,broken clouds,2021-08-03 23:04:18
80,Fortuna,US,40.5982,-124.1573,69.85,78,20,17.27,few clouds,2021-08-03 23:04:18
81,Dikson,RU,73.5069,80.5464,47.52,84,99,7.25,overcast clouds,2021-08-03 23:04:18
82,Port Alfred,ZA,-33.5906,26.891,67.24,32,0,7.2,clear sky,2021-08-03 23:04:18
83,Hasaki,JP,35.7333,140.8333,82.8,80,3,8.46,clear sky,2021-08-03 23:02:13
84,Tuy Hoa,VN,13.0833,109.3,83.64,67,100,13.4,overcast clouds,2021-08-03 23:00:55
85,Muskegon,US,43.3,-86.1334,78.78,51,75,6.91,broken clouds,2021-08-03 23:04:19
86,Ketchikan,US,55.3422,-131.6461,61.27,94,90,9.22,moderate rain,2021-08-03 23:04:19
87,Torbay,CA,47.6666,-52.7314,66.67,73,0,5.99,clear sky,2021-08-03 23:04:19
88,Tuktoyaktuk,CA,69.4541,-133.0374,43.81,76,28,10.71,scattered clouds,2021-08-03 23:03:16
89,Zhucheng,CN,35.9947,119.3975,76.17,85,85,1.9,overcast clouds,2021-08-03 23:04:20
90,Castro,BR,-24.7911,-50.0119,47.88,77,31,5.44,scattered clouds,2021-08-03 23:01:24
91,Ginda,IN,30.6945,78.4932,67.68,90,94,2.04,overcast clouds,2021-08-03 23:04:20
92,Noumea,NC,-22.2763,166.4572,73.0,99,0,1.48,clear sky,2021-08-03 22:59:59
93,Esperance,AU,-33.8667,121.9,54.27,75,77,5.37,broken clouds,2021-08-03 23:04:20
94,Barrow,US,71.2906,-156.7887,48.22,68,90,14.97,overcast clouds,2021-08-03 23:04:14
95,Iqaluit,CA,63.7506,-68.5145,43.7,87,94,17.0,overcast clouds,2021-08-03 23:01:16
96,Saint George,US,37.1041,-113.5841,106.27,13,1,1.01,clear sky,2021-08-03 23:02:15
97,Banda Aceh,ID,5.5577,95.3222,79.5,80,99,14.74,overcast clouds,2021-08-03 23:04:21
98,Longyearbyen,SJ,78.2186,15.6401,46.24,66,90,13.8,overcast clouds,2021-08-03 23:04:21
99,Bertoua,CM,4.5833,13.6833,67.24,98,100,1.39,moderate rain,2021-08-03 23:04:22
100,Bereda,ES,43.2686,-7.5406,65.41,100,100,4.32,overcast clouds,2021-08-03 23:04:22
101,Bambous Virieux,MU,-20.3428,57.7575,68.23,70,0,10.63,clear sky,2021-08-03 23:04:22
102,Thompson,CA,55.7435,-97.8558,92.25,19,23,11.92,few clouds,2021-08-03 23:04:22
103,Hervey Bay,AU,-25.2986,152.8535,65.01,54,81,3.0,broken clouds,2021-08-03 23:04:23
104,Mayumba,GA,-3.432,10.6554,73.11,92,71,6.73,broken clouds,2021-08-03 23:04:23
105,Seddon,AU,-37.8068,144.8916,51.08,84,75,3.0,broken clouds,2021-08-03 23:04:23
106,Ilulissat,GL,69.2167,-51.1,46.42,87,36,4.61,scattered clouds,2021-08-03 23:02:04
107,Tyrma,RU,50.0833,132.1667,69.62,97,100,3.29,overcast clouds,2021-08-03 23:04:24
108,Provideniya,RU,64.3833,-173.3,53.71,87,90,13.42,mist,2021-08-03 23:04:24
109,Yellowknife,CA,62.456,-114.3525,65.32,45,100,8.01,overcast clouds,2021-08-03 23:00:19
110,Faanui,PF,-16.4833,-151.75,79.09,75,29,9.66,scattered clouds,2021-08-03 23:04:24
111,Barranca,PE,-10.75,-77.7667,64.74,80,12,9.1,few clouds,2021-08-03 23:04:25
112,Narsaq,GL,60.9167,-46.05,46.11,94,100,1.7,light rain,2021-08-03 22:59:48
113,Bengkulu,ID,-3.8004,102.2655,75.15,91,64,4.29,broken clouds,2021-08-03 23:04:25
114,Togur,RU,58.3631,82.8265,54.34,95,84,1.83,broken clouds,2021-08-03 23:04:25
115,Port Blair,IN,11.6667,92.75,81.93,82,98,18.57,overcast clouds,2021-08-03 23:04:25
116,Ribeira Grande,PT,38.5167,-28.7,72.75,86,1,5.5,clear sky,2021-08-03 22:59:32
117,Khatanga,RU,71.9667,102.5,69.26,58,98,8.97,overcast clouds,2021-08-03 23:04:26
118,Bairiki,KI,1.3292,172.9752,86.0,66,75,8.05,broken clouds,2021-08-03 23:04:26
119,Boa Vista,BR,2.8197,-60.6733,80.58,69,75,5.75,broken clouds,2021-08-03 23:04:26
120,Walvis Bay,NA,-22.9575,14.5053,59.09,86,23,5.82,few clouds,2021-08-03 23:04:27
121,Bilibino,RU,68.0546,166.4372,35.49,96,100,6.96,light rain,2021-08-03 23:04:27
122,Biak,ID,-0.9131,122.8766,75.25,89,100,10.02,overcast clouds,2021-08-03 23:04:27
123,Flinders,AU,-34.5833,150.8552,54.21,58,3,17.0,clear sky,2021-08-03 23:04:28
124,Breves,BR,-1.6822,-50.4803,79.9,63,98,2.51,overcast clouds,2021-08-03 23:04:28
